,Grade_x,School Year_x,Date of Test,Pre or Post?,Main Language Used In Exam,EGRA Question 1: Reading Habit,EGRA Last Book Read,Reads With Others,"How Often, ReadsWithOthers",Student Gender,Date,Q1 Rating or Answer,Q2 Rating,Q3 Rating or Answer,Q4 Rating or Answer,Q5 Rating or Answer,Q6 Rating or Answer,Q7 Rating,Q8 Rating,Skill to Improve 1,Skill to Improve 2,Minutes Spent Observing,Minutes Spent Coaching,Total Score,Teacher Number: Gender,Teacher Number: School Years in Teacher Support Program,Teacher Present,Average Students Enrolled,School Year_y
13,4,2019-2020,10/7/19,Pre,English; Ewe,Yes,No,1,1,Male,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
14,5,2020-2021,11/24/21,Post,English,Yes,Yes,1,1,Male,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
15,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,No,0,0,Male,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
16,5,2020-2021,11/24/21,Post,English,Yes,Yes,1,1,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
17,5,2020-2021,5/10/21,Pre,English,Yes,Yes,1,2,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
18,5,2020-2021,11/24/21,Post,English,Yes,Yes,1,2,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
19,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,3,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
20,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
21,5,2020-2021,5/10/21,Pre,English,Yes,Yes,1,3,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
22,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,1,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
23,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,2,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
24,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,1,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
25,5,2020-2021,5/10/21,Pre,English,No,No,1,4,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
26,5,2020-2021,11/24/21,Post,English,Yes,Yes,0,0,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
27,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,No,1,2,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
28,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,2,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
29,5,2020-2021,5/10/21,Pre,English,Yes,Yes,1,3,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
30,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,2,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
31,5,2020-2021,5/10/21,Pre,English; Ewe,No,No,0,0,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
32,5,2020-2021,11/24/21,Post,English,Yes,Yes,1,3,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
33,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,3,Female,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
34,5,2020-2021,11/24/21,Post,English; Ewe,No,No,0,0,Male,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
35,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,4,Male,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
36,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,1,Male,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
37,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,4,Male,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
38,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,3,Male,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
39,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,No,1,4,Male,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
40,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,3,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
41,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,3,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
42,3,2020-2021,5/10/21,Pre,English; Ewe,No,No,0,0,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
43,3,2020-2021,5/10/21,Pre,English; Ewe,No,No,0,0,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
44,3,2020-2021,11/24/21,Post,English; Ewe,Yes,No,0,0,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
45,3,2020-2021,11/24/21,Post,English; Ewe,Yes,No,0,0,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
46,3,2020-2021,5/10/21,Pre,English,Yes,Yes,0,0,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
47,3,2020-2021,5/10/21,Pre,English,Yes,Yes,0,0,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
48,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,3,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
49,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,3,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
50,3,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,3,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
51,3,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,3,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
52,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,2,Female,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
53,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,2,Female,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
54,3,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,1,Female,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
55,3,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,1,Female,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
56,3,2020-2021,11/24/21,Post,English; Ewe,No,No,1,3,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
57,3,2020-2021,11/24/21,Post,English; Ewe,No,No,1,3,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
58,3,2020-2021,5/10/21,Pre,English; Ewe,Yes,No,0,0,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
59,3,2020-2021,5/10/21,Pre,English; Ewe,Yes,No,0,0,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
60,3,2020-2021,11/24/21,Post,Ewe,Yes,Yes,1,3,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
61,3,2020-2021,11/24/21,Post,Ewe,Yes,Yes,1,3,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
62,3,2020-2021,5/10/21,Pre,Ewe,Yes,Yes,1,1,Male,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
63,3,2020-2021,5/10/21,Pre,Ewe,Yes,Yes,1,1,Male,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
64,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
65,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
66,3,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,3,Female,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
67,3,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,3,Female,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
68,3,2020-2021,11/24/21,Post,English; Ewe,Yes,No,1,1,Female,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
69,3,2020-2021,11/24/21,Post,English; Ewe,Yes,No,1,1,Female,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
70,3,2020-2021,5/10/21,Pre,Ewe,Yes,Yes,1,3,Female,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
71,3,2020-2021,5/10/21,Pre,Ewe,Yes,Yes,1,3,Female,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
72,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,1,Female,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
73,3,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,1,Female,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
74,3,2020-2021,5/10/21,Pre,Ewe,Yes,Yes,1,1,Female,2021-06-29 00:00:00,3,3,3,3,3,3,3,2,Communication of Content,Communication of Content,30.0,5.0,23,Female,4,Present,12,2020-2021
75,3,2020-2021,5/10/21,Pre,Ewe,Yes,Yes,1,1,Female,2021-11-02 00:00:00,2,2,2,3,2,2,3,3,Lesson Objectives,Communication of Content,30.0,10.0,19,Female,4,Present,12,2020-2021
76,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
77,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
78,3,2020-2021,5/11/21,Pre,Ewe,No,No,0,0,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
79,3,2020-2021,5/11/21,Pre,Ewe,No,No,0,0,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
80,3,2020-2021,11/25/21,Post,English; Ewe,Yes,No,0,0,Male,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
81,3,2020-2021,11/25/21,Post,English; Ewe,Yes,No,0,0,Male,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
82,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,Yes,1,3,Male,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
83,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,Yes,1,3,Male,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
84,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
85,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
86,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,Yes,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
87,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,Yes,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
88,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,0,0,Male,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
89,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,0,0,Male,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
90,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,No,0,0,Male,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
91,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,No,0,0,Male,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
92,3,2020-2021,11/25/21,Post,English,Yes,Yes,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
93,3,2020-2021,11/25/21,Post,English,Yes,Yes,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
94,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,No,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
95,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,No,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
96,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Male,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
97,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Male,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
98,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,Yes,1,3,Male,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
99,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,Yes,1,3,Male,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
100,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
101,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
102,3,2020-2021,5/11/21,Pre,Ewe,Yes,No,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
103,3,2020-2021,5/11/21,Pre,Ewe,Yes,No,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
104,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
105,3,2020-2021,11/25/21,Post,English; Ewe,Yes,Yes,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
106,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,Yes,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
107,3,2020-2021,5/11/21,Pre,English; Ewe,Yes,Yes,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
108,3,2020-2021,11/25/21,Post,English,Yes,Yes,1,2,Male,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
109,3,2020-2021,11/25/21,Post,English,Yes,Yes,1,2,Male,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
110,3,2020-2021,5/11/21,Pre,English,Yes,Yes,0,0,Male,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
111,3,2020-2021,5/11/21,Pre,English,Yes,Yes,0,0,Male,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
112,3,2020-2021,11/25/21,Post,English,Yes,Yes,1,3,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
113,3,2020-2021,11/25/21,Post,English,Yes,Yes,1,3,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
114,3,2020-2021,5/11/21,Pre,English,Yes,No,0,0,Female,2021-11-04 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Lesson Plan Delivery,10.0,4.0,16,Male,4,Present,15,2020-2021
115,3,2020-2021,5/11/21,Pre,English,Yes,No,0,0,Female,2021-07-05 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Professionalism,18.0,3.0,16,Male,4,Present,15,2020-2021
116,2,2019-2020,10/10/19,Pre,Ewe,Yes,No,1,1,Female,2019-10-21 00:00:00,0,0,0,0,0,0,0,0,None,None,15.0,15.0,0,Male,5,Not Present,22,2019-2020
117,2,2019-2020,10/10/19,Pre,Ewe,Yes,No,1,1,Female,2020-02-04 00:00:00,3,3,2,2,3,3,2,2,Lesson Plan Delivery,Classroom Leadership/Managing Student Behavior,10.0,4.0,20,Male,5,Present,22,2019-2020
118,2,2019-2020,10/10/19,Pre,Ewe,Yes,No,1,1,Female,2020-02-17 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Classroom Leadership/Managing Student Behavior,18.0,10.0,16,Male,5,Present,22,2019-2020
119,2,2019-2020,10/8/19,Pre,English; Ewe,Yes,Yes,0,2,Male,2019-10-21 00:00:00,0,0,0,0,0,0,0,0,None,None,15.0,15.0,0,Male,5,Not Present,22,2019-2020
120,2,2019-2020,10/8/19,Pre,English; Ewe,Yes,Yes,0,2,Male,2020-02-04 00:00:00,3,3,2,2,3,3,2,2,Lesson Plan Delivery,Classroom Leadership/Managing Student Behavior,10.0,4.0,20,Male,5,Present,22,2019-2020
121,2,2019-2020,10/8/19,Pre,English; Ewe,Yes,Yes,0,2,Male,2020-02-17 00:00:00,2,2,2,2,2,2,2,2,Lesson Plan Delivery,Classroom Leadership/Managing Student Behavior,18.0,10.0,16,Male,5,Present,22,2019-2020
